ticker,event_ticker,status,close_time,volume
KXNBATOTAL-25NOV05UTADET-224,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:19.674545Z,2329
KXNBATOTAL-25NOV05UTADET-221,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:19.286708Z,1586
KXNBATOTAL-25NOV05UTADET-218,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:18.718267Z,3997
KXNBATOTAL-25NOV05UTADET-215,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:18.321393Z,16571
KXNBASPREAD-25NOV05BKNIND-IND9,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:07.047896Z,3725
KXNBASPREAD-25NOV05BKNIND-IND6,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:06.781327Z,30793
KXNBASPREAD-25NOV05BKNIND-IND3,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:06.430343Z,12690
KXNBASPREAD-25NOV05BKNIND-IND21,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:08.052898Z,2847
KXNBASPREAD-25NOV05BKNIND-IND18,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:07.867171Z,3200
KXNBASPREAD-25NOV05BKNIND-IND15,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:07.63536Z,1723
KXNBASPREAD-25NOV05BKNIND-IND12,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:07.326322Z,1342
KXNBASPREAD-25NOV05BKNIND-BKN9,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:05.131051Z,8059
KXNBASPREAD-25NOV05BKNIND-BKN6,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:05.5086Z,3295
KXNBASPREAD-25NOV05BKNIND-BKN3,KXNBASPREAD-25NOV05BKNIND,settled,2025-11-06T02:55:05.911516Z,4548
KXNBASPREAD-25NOV05UTADET-UTA5,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:17.430302Z,3087
KXNBASPREAD-25NOV05UTADET-UTA2,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:17.854979Z,1929
KXNBASPREAD-25NOV05UTADET-DET7,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:19.044744Z,7163
KXNBASPREAD-25NOV05UTADET-DET4,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:18.634397Z,6800
KXNBASPREAD-25NOV05UTADET-DET25,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:20.874607Z,556
KXNBASPREAD-25NOV05UTADET-DET22,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:20.641816Z,700
KXNBASPREAD-25NOV05UTADET-DET19,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:20.379303Z,1165
KXNBASPREAD-25NOV05UTADET-DET16,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:19.993367Z,1113
KXNBASPREAD-25NOV05UTADET-DET13,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:19.722643Z,6198
KXNBASPREAD-25NOV05UTADET-DET10,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:19.377277Z,58493
KXNBASPREAD-25NOV05UTADET-DET1,KXNBASPREAD-25NOV05UTADET,settled,2025-11-06T02:50:18.326014Z,970
KXNCAAMBTOTAL-25NOV05USIBUT-170,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:38.151358Z,200
KXNCAAMBTOTAL-25NOV05USIBUT-167,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:37.788875Z,200
KXNCAAMBTOTAL-25NOV05USIBUT-164,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:37.41318Z,200
KXNCAAMBTOTAL-25NOV05USIBUT-161,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:37.126135Z,350
KXNCAAMBTOTAL-25NOV05USIBUT-158,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:36.775403Z,377
KXNCAAMBTOTAL-25NOV05USIBUT-155,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:36.517357Z,6755
KXNCAAMBTOTAL-25NOV05USIBUT-152,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:36.247064Z,675
KXNCAAMBTOTAL-25NOV05USIBUT-149,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:35.916911Z,225
KXNCAAMBTOTAL-25NOV05USIBUT-146,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:35.711814Z,329
KXNCAAMBTOTAL-25NOV05USIBUT-143,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:35.450791Z,200
KXNCAAMBTOTAL-25NOV05USIBUT-140,KXNCAAMBTOTAL-25NOV05USIBUT,settled,2025-11-06T02:35:35.149873Z,200
KXNCAAMBSPREAD-25NOV05USIBUT-BUT8,KXNCAAMBSPREAD-25NOV05USIBUT,settled,2025-11-06T02:35:43.55476Z,250
KXNCAAMBSPREAD-25NOV05USIBUT-BUT5,KXNCAAMBSPREAD-25NOV05USIBUT,settled,2025-11-06T02:35:43.336288Z,250
KXNCAAMBSPREAD-25NOV05USIBUT-BUT35,KXNCAAMBSPREAD-25NOV05USIBUT,settled,2025-11-06T02:35:45.458262Z,250
KXNCAAMBSPREAD-25NOV05USIBUT-BUT32,KXNCAAMBSPREAD-25NOV05USIBUT,settled,2025-11-06T02:35:45.206915Z,912
KXNCAAMBSPREAD-25NOV05USIBUT-BUT29,KXNCAAMBSPREAD-25NOV05USIBUT,settled,2025-11-06T02:35:44.96382Z,2675
KXNCAAMBSPREAD-25NOV05USIBUT-BUT26,KXNCAAMBSPREAD-25NOV05USIBUT,settled,2025-11-06T02:35:44.811045Z,1742
KXNCAAMBSPREAD-25NOV05USIBUT-BUT23,KXNCAAMBSPREAD-25NOV05USIBUT,settled,2025-11-06T02:35:44.630942Z,2895
